strategy,measure_sec,entry_idx,min_range,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_outcome
confirmation,150,180,0.0004,2259002.718220818,4888,0.7422258592471358,2.789280738697854,60.4678114010938,-0.07085662228571299,0.7422258592471358
chop_only,150,180,0.0004,2259002.718220818,4888,0.7422258592471358,2.789280738697854,60.4678114010938,-0.07085662228571299,0.7422258592471358
chop_only,150,210,0.0004,2256403.4329115576,4888,0.7422258592471358,2.7872219314637006,60.460113089435104,-0.07089110925094755,0.7422258592471358
confirmation,150,210,0.0004,2256403.4329115576,4888,0.7422258592471358,2.7872219314637006,60.460113089435104,-0.07089110925094755,0.7422258592471358
confirmation,150,120,0.0005,2138505.5203387346,4429,0.7523142921652743,2.945521464217173,62.19204413343782,-0.06936422342865745,0.7523142921652743
chop_only,150,120,0.0005,2138505.5203387346,4429,0.7523142921652743,2.945521464217173,62.19204413343782,-0.06936422342865745,0.7523142921652743
chop_only,150,150,0.0005,2136761.273084235,4429,0.7523142921652743,2.9439346221724585,62.18743004016449,-0.06939527179789762,0.7523142921652743
confirmation,150,150,0.0005,2136761.273084235,4429,0.7523142921652743,2.9439346221724585,62.18743004016449,-0.06939527179789762,0.7523142921652743
confirmation,150,180,0.0005,2134397.920034367,4429,0.7523142921652743,2.9417845439789234,62.18833496634767,-0.06945662658379526,0.7523142921652743
chop_only,150,180,0.0005,2134397.920034367,4429,0.7523142921652743,2.9417845439789234,62.18833496634767,-0.06945662658379526,0.7523142921652743
chop_only,150,210,0.0005,2131888.5474445424,4429,0.7523142921652743,2.939501623411826,62.185383794896254,-0.06952122186824838,0.7523142921652743
confirmation,150,210,0.0005,2131888.5474445424,4429,0.7523142921652743,2.939501623411826,62.185383794896254,-0.06952122186824838,0.7523142921652743
confirmation,150,120,0.0006,1921756.2774858745,3912,0.7566462167689162,3.0146223073662224,60.60935086302047,-0.07997212345189109,0.7566462167689162
chop_only,150,120,0.0006,1921756.2774858745,3912,0.7566462167689162,3.0146223073662224,60.60935086302047,-0.07997212345189109,0.7566462167689162
chop_only,150,150,0.0006,1920099.4875398532,3912,0.7566462167689162,3.0128854554964173,60.60478454946944,-0.08000991975145244,0.7566462167689162
confirmation,150,150,0.0006,1920099.4875398532,3912,0.7566462167689162,3.0128854554964173,60.60478454946944,-0.08000991975145244,0.7566462167689162
confirmation,150,180,0.0006,1917913.458771868,3912,0.7566462167689162,3.010593790121296,60.60485668207933,-0.0800797465246249,0.7566462167689162
chop_only,150,180,0.0006,1917913.458771868,3912,0.7566462167689162,3.010593790121296,60.60485668207933,-0.0800797465246249,0.7566462167689162
chop_only,150,210,0.0006,1915543.3786199356,3912,0.7566462167689162,3.0081091793513104,60.60209741343857,-0.08015763449565616,0.7566462167689162
confirmation,150,210,0.0006,1915543.3786199356,3912,0.7566462167689162,3.0081091793513104,60.60209741343857,-0.08015763449565616,0.7566462167689162
confirmation,120,120,0.0003,1642380.7158648234,4759,0.6824963227568817,2.084779954231061,52.67518011381875,-0.10164196606734921,0.6824963227568817
chop_only,120,120,0.0003,1642380.7158648234,4759,0.6824963227568817,2.084779954231061,52.67518011381875,-0.10164196606734921,0.6824963227568817
chop_only,120,150,0.0003,1641136.4273186047,4759,0.6824963227568817,2.083958111122958,52.66628407522873,-0.10165478794934069,0.6824963227568817
confirmation,120,150,0.0003,1641136.4273186047,4759,0.6824963227568817,2.083958111122958,52.66628407522873,-0.10165478794934069,0.6824963227568817
confirmation,120,180,0.0003,1639077.5422509462,4759,0.6824963227568817,2.082598233216522,52.646311139021506,-0.1016523361406445,0.6824963227568817
chop_only,120,180,0.0003,1639077.5422509462,4759,0.6824963227568817,2.082598233216522,52.646311139021506,-0.1016523361406445,0.6824963227568817
chop_only,120,210,0.0003,1636776.1911164226,4759,0.6824963227568817,2.081078208319577,52.629083427453665,-0.10167472509950881,0.6824963227568817
confirmation,120,210,0.0003,1636776.1911164226,4759,0.6824963227568817,2.081078208319577,52.629083427453665,-0.10167472509950881,0.6824963227568817
all_patterns,120,120,0.0003,1591154.3789277566,4191,0.7000715819613458,2.263308211681453,52.52176435435694,-0.10164196606734921,0.7000715819613458
all_patterns,120,120,0.0004,1591154.3789277566,4191,0.7000715819613458,2.263308211681453,52.52176435435694,-0.10164196606734921,0.7000715819613458
all_patterns,120,120,0.0005,1591154.3789277566,4191,0.7000715819613458,2.263308211681453,52.52176435435694,-0.10164196606734921,0.7000715819613458
all_patterns,120,120,0.0006,1591154.3789277566,4191,0.7000715819613458,2.263308211681453,52.52176435435694,-0.10164196606734921,0.7000715819613458
all_patterns,120,150,0.0003,1589961.9752232758,4191,0.7000715819613458,2.2623614943726515,52.51319815749335,-0.10165478794934069,0.7000715819613458
all_patterns,120,150,0.0004,1589961.9752232758,4191,0.7000715819613458,2.2623614943726515,52.51319815749335,-0.10165478794934069,0.7000715819613458
